,Symbol,Company,Ongoing/ One-time,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Amount transferred to Unspent CSR Account for the project (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village),Category
1804,BODALCHEM,BODAL CHEMICALS LTD.,One-time,BEING AMOUNT PAID TO SUPER SPECILITIES PHARMA WAREHOUSING & LOGISTICS PVT LTD TOWARDS CSR ACTIVITY,PREVENTIVE HEALTHCARE,SCHEDULE VII (I),,2.7,,,2.7,,,,Medical and Health
1805,BODALCHEM,BODAL CHEMICALS LTD.,One-time,BEING AMOUNT PAID TOWARDS PURCHASE OF ERVA VENTILATORS AND BREATHING CIRCUIT AND SAME DISTRIBUTED TO THE CAMBAY MEDICAL RELIEF SOCIETY FOR CSR ACTIVITIES,PROMOTION OF HEALTH CARE,SCHEDULE VII (I),,4.43,,,4.43,,,GUJARAT (ANAND),Medical and Health
1811,BODALCHEM,BODAL CHEMICALS LTD.,One-time,BEING AMOUNT PAID TO AMBALAL GHANSHYAMBHAI & CO. FOR FOOD DISTRIBUTION ACTIVITY TO NEEDY PEOPLE AT COMPANY UNIT-VII,PREVENTIVE HEALTHCARE AND SOCIAL ACTIVITY,SCHEDULE VII (I),,0.85,,,0.85,,,GUJARAT (ANAND),Medical and Health
1815,BODALCHEM,BODAL CHEMICALS LTD.,One-time,BEING AMOUNT PAID FOR PURCHASED OF 60-OXEGEN CONCENTARTRAR-AT THE TIME OF COVID-19 2ND PHASE,PROMOTION OF HEALTH CARE,SCHEDULE VII (I),,31.86,,,31.86,,,"GUJARAT,PUNJAB",Medical and Health
1820,BODALCHEM,BODAL CHEMICALS LTD.,One-time,BEING AMOUNT PAID TO SAMAST VAISHNAV VANIK PARIWAR TOWARDS CSR ACTIVITY _MEDICAL HELP/FACILITIES OF COVID CARE HOSPITALS AND PATIENTS,PROMOTION OF HEALTH CARE,SCHEDULE VII (I),,11.0,,,11.0,,,GUJARAT (AHMEDABAD),Medical and Health
1821,BODALCHEM,BODAL CHEMICALS LTD.,One-time,CSR CONTRIBUTION THORUGH YUVA UNSTOPABLE TOWARDS DIFFERENT CSR ACTIVITIES,ENGAGED WITH VARIOUS CSR ACTIVITIES AT NATIONAL LEVEL,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III), SCHEDULE VII (IV), SCHEDULE VII (V), SCHEDULE VII (VI), SCHEDULE VII (VII), SCHEDULE VII (VIII), SCHEDULE VII (IX), SCHEDULE VII (X), SCHEDULE VII (XI), SCHEDULE VII (XII)",,25.76,,,,YUVA UNSTOPPABLE,25.76,,Medical and Health
1823,BODALCHEM,BODAL CHEMICALS LTD.,One-time,BEING AMOUNT PAID TO KARMA FOUNDATION TOWARDS CSR ACTIVITIES,"KARMA FOUNDATION IS ENGAGED IN CORE VERTICALES EDUCATION, HEALTH, LIVELIHOOD, WOMEN DEVELOPMENT, LITRETURE, SOCIAL DEVELOPMENT","SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III), COMMUNITY DEVELOPMENT/ INFRASTRUCTURE/ SOCIAL WELFARE/ CHILD WELFARE",,0.5,,"KARMA FOUNDATION,THE",0.5,,,GUJARAT (AHMEDABAD),Medical and Health
1825,BODALCHEM,BODAL CHEMICALS LTD.,One-time,BEING AMOUNT PAID TO CARDIAC CARE CENTER TOWARDS CSR ACTIVITES PAYMENT OF HSOPITAL BILL IN BEHALF OF PATIENTS (AMOUNT UTILIZED FOR PATIENT RELIEF FUND),PROMOTION OF HEALTH CARE,SCHEDULE VII (I),,0.51,,,0.51,,,GUJARAT (KHAMBHAT),Medical and Health
1828,BODALCHEM,BODAL CHEMICALS LTD.,One-time,BEING AMOUNT PAID TO COLLECTOR PATAN CSR FUND TOWARDS CSR ACTIVITIES/CONTRIBUTION FOR COVID CARE RELATED ACTIVITIES,PROMOTION OF HEALTH CARE,SCHEDULE VII (I),,3.0,,,3.0,,,GUJARAT (PATAN),Medical and Health
1831,BODALCHEM,BODAL CHEMICALS LTD.,One-time,BEING AMOUNT PAID TO CGSM AND RC SANCHALIT SHRADDHA HOSPITAL TOWARDS CSR ACTIVITIES,PREVENTIVE HEALTHCARE,SCHEDULE VII (I),,6.2,,,6.2,,,GUJARAT (ANAND),Medical and Health
1833,BODALCHEM,BODAL CHEMICALS LTD.,One-time,BEING AMOUNT PAID TO PARSHWA ENTERPRISE TOWARDS COVID ACTIVITES UNDER CSR (PROVIDE MEDICINE TO COVID PATIENT),PROMOTION OF HEALTH CARE,SCHEDULE VII (I),,0.51,,,0.51,,,GUJARAT (VADODARA),Medical and Health
1836,BBTC,"BOMBAY BURMAH TRADING CORP.LTD.,THE",One-time,PUBLIC ROADS THROUGH ESTATE,"AS PER ITEM NO (X) OF SCHEDULE VII OF THE COMPANIES ACT, 2013 COVERED UNDER RURAL DEVELOPMENT PROJECTS",SCHEDULE VII (X),,6.14,,,6.14,,,TAMIL NADU (COIMBATORE),Medical and Health
1842,BOROLTD,BOROSIL LTD.,One-time,SEVA YAGNA SAMITI  PURCHASE AND DISTRIBUTION OF MILK AMONGST THE POOR AND NEEDY PATIENTS AS A HEALTHY DIET FOOD.,"CLAUSE (I) ERADICATING HUNGER, POVERTY AND MALNUTRITION",SCHEDULE VII (I),,6.0,,,,SEVA YAGNA SAMITI,6.0,GUJARAT (BHARUCH),Medical and Health
1844,BORORENEW,BOROSIL RENEWABLES LTD.,One-time,HORTICULTURE - PLANTATION OF FRUIT TREES AND RELATED ACTIVITIES IN PALGHAR DISTRICT OF MAHARASHTRA,CLAUSE (IV) & (X): AGROFORESTRY & RURAL DEVELOPMENT PROJECTS,"SCHEDULE VII (IV), SCHEDULE VII (X)",,65.0,,,,"ROTARY CLUB, MUMBAI QUEENS NECKLACE CHARITABLE TRUST",65.0,MAHARASHTRA (PALGHAR),Medical and Health
1846,BORORENEW,BOROSIL RENEWABLES LTD.,One-time,HORTICULTURE - PLANTATION OF FRUIT TREES AND RELATED ACTIVITIES IN PALGHAR DISTRICT OF MAHARASHTRA,CLAUSE (IV) & (X): AGROFORESTRY & RURAL DEVELOPMENT PROJECTS,"SCHEDULE VII (IV), SCHEDULE VII (X)",,35.0,,,,ROTARY SERVICE PUBLIC CHARITABLE TRUST,35.0,MAHARASHTRA (PALGHAR),Medical and Health
1852,BOSCHLTD,BOSCH LTD.,One-time,SUPPORT FOR MEDICINE SUPPLY,XII (DISASTER MANAGEMENT  REHABILITATION),"SCHEDULE VII (I), SCHEDULE VII (XII)",,28.55,,,28.55,,,KARNATAKA (UTTARA KANNADA),Medical and Health
1856,BOSCHLTD,BOSCH LTD.,One-time,VACCINATION DRIVE,XII (DISASTER MANAGEMENT  REHABILITATION),"SCHEDULE VII (I), SCHEDULE VII (XII)",,20.01,,,20.01,,,KARNATAKA (BENGALURU),Medical and Health
1860,BOSCHLTD,BOSCH LTD.,One-time,AYURVEDA AIDED HEALTH & WELLNESS PROGRAM,XII (DISASTER MANAGEMENT  REHABILITATION,SCHEDULE VII (XII),,10.3,,,,"UNIVERSITY OF TRANS-DISCIPLINARY HEALTH SCIENCES & TECHNOLOGY,THE",10.3,KARNATAKA (RAMANAGARA),Medical and Health
1863,BOSCHLTD,BOSCH LTD.,One-time,SUPPORT TO DEVELOP INFRASTRUCTURE TO COMBAT COVID IN NEARBY VILLAGES,XII (DISASTER MANAGEMENT  REHABILITATION),SCHEDULE VII (XII),,35.58,,,35.58,,,KARNATAKA (RAMANAGARA),Medical and Health
1864,BOSCHLTD,BOSCH LTD.,One-time,"SUPPORT TO NEARBY COMMUNITY HOSPITALS - OXYGEN JUMBO CYLINDERS, COVID PROTECTIVE EQUIPMENT",XII (DISASTER MANAGEMENT  REHABILITATION),SCHEDULE VII (XII),,14.69,,,14.69,,,KARNATAKA (RAMANAGARA),Medical and Health
1866,BOSCHLTD,BOSCH LTD.,One-time,"MEDICAL EQUIPMENT SUPPORT TO SIGNUS & SAHYADRI HOSPITAL VENTILATORS, O2 CONCENTRATOR ETC.",XII (DISASTER MANAGEMENT  REHABILITATION),"SCHEDULE VII (I), SCHEDULE VII (XII)",,94.32,,,94.32,,,MAHARASHTRA (NASHIK),Medical and Health
1867,BOSCHLTD,BOSCH LTD.,One-time,SUPPORT IN SETTING UP AN OXYGEN GENERATOR PLANT IN ST. MARTHA^S HOSPITAL,XII (DISASTER MANAGEMENT  REHABILITATION),SCHEDULE VII (XII),,30.77,,,30.77,,,KARNATAKA (BENGALURU),Medical and Health
1869,BOSCHLTD,BOSCH LTD.,One-time,"MEDICAL EQUIPMENT SUPPORT TO GOVT COVID CENTERS IN CHENNAI - OXYGEN CYLINDERS, PULSE OXY METER, REFRIGERATORS, & COVID PROTECTIVE EQUIPMENT",XII (DISASTER MANAGEMENT  REHABILITATION),"SCHEDULE VII (I), SCHEDULE VII (XII)",,23.32,,,23.33,,,TAMIL NADU (CHENNAI),Medical and Health
1870,BOSCHLTD,BOSCH LTD.,One-time,"MEDICAL EQUIPMENT SUPPORT TO HOSPITALS: OXYGEN CONCENTRATORS, VENTILATORS & COVID PROTECTIVE EQUIPMENT",XII (DISASTER MANAGEMENT  REHABILITATION),"SCHEDULE VII (I), SCHEDULE VII (XII)",,38.41,,,38.41,,,RAJASTHAN (JAIPUR),Medical and Health
1872,BOSCHLTD,BOSCH LTD.,One-time,MAINTENANCE OF PRIMARY HEALTH CENTRE (ADUGODI),I (PROMOTING HEALTH CARE),SCHEDULE VII (I),,21.92,,,,KARUNA TRUST,21.92,KARNATAKA (BENGALURU),Medical and Health
1880,BOSCHLTD,BOSCH LTD.,One-time,COVID AFFECTED FAMILIES SUPPORT,XII (DISASTER MANAGEMENT  REHABILITATION),SCHEDULE VII (XII),,93.61,,,93.61,,,ALL STATES,Medical and Health
1892,BSE,BSE LTD.,One-time,BIL-RYERSON TECHNOLOGY STARTUP INCUBATOR FOUNDATION,(IX) (A),SCHEDULE VII (IX),,166.51,,BSE CSR INTEGRATED FOUNDATION,166.51,,,MAHARASHTRA (MUMBAI),Medical and Health
1894,BYKE,"BYKE HOSPITALITY LTD.,THE",One-time,DISTRIBUTION OF FOOD ITEMS TO CANCER PATIENTS,HEALTH,SCHEDULE VII (I),4.5,4.8,,,2.4,LIONS CLUB OF MUMBAI,2.4,MAHARASHTRA (MUMBAI),Medical and Health
1896,MAPMYINDIA,C.E.INFO SYSTEMS LTD.,One-time,COVID-19 RELIEF PROJECT VEHICLE TRACKING DEVICES TO GOVT. AUTHORITIES,"DISASTER MANAGEMENT, (XII)",SCHEDULE VII (XII),,8.61,,,8.61,,,DELHI,Medical and Health
1897,MAPMYINDIA,C.E.INFO SYSTEMS LTD.,One-time,COVID-19 RELIEF PROJECT* MITKAT ADVISORY SERVICE (PANDEMIC FOCUSED SUBSCRIPTION),"DISASTER MANAGEMENT, (XII)",SCHEDULE VII (XII),,3.66,,,3.66,,,DELHI,Medical and Health
1898,MAPMYINDIA,C.E.INFO SYSTEMS LTD.,One-time,COVID-19 RELIEF PROJECT (PAYROLL_CORONA DEPARTMENT),"DISASTER MANAGEMENT, (XII)",SCHEDULE VII (XII),,72.04,,,72.04,,,ALL STATES,Medical and Health
1899,MAPMYINDIA,C.E.INFO SYSTEMS LTD.,One-time,COVID-19 RELIEF PROJECT SETTING-UP OF OXYGEN PLANT DURING THE PERIOD OF COVID,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,1.0,,,,PHD FAMILY WELFARE FOUNDATION,1.0,DELHI,Medical and Health
1900,MAPMYINDIA,C.E.INFO SYSTEMS LTD.,One-time,COVID-19 RELIEF PROJECT* CLOUD_HOSTING EXPENSES,"DISASTER MANAGEMENT, (XII)",SCHEDULE VII (XII),,12.92,,,12.92,,,ALL STATES,Medical and Health
1904,CANFINHOME,CAN FIN HOMES LTD.,Ongoing,"TO GENERAL PUBLIC THROUGH BLOSSOM HOSPITAL,BENGALURU.",COMBAT COVID - 19,SCHEDULE VII (XII),49.14,,49.14,,,,,KARNATAKA (BENGALURU),Medical and Health
1911,CANFINHOME,CAN FIN HOMES LTD.,One-time,"GOVERNMENT GENERAL HOSPITAL, YELAHANKA",HEALTHCARE,SCHEDULE VII (I),,23.9,,,23.9,,,KARNATAKA (BENGALURU),Medical and Health
1927,CANFINHOME,CAN FIN HOMES LTD.,One-time,"PRIMARY HEALTH CARE CENTER, SIDIGINAMOLA, BALLARI",ENVIRONMENTAL SUSTAINABILITY - RENEWABLE ENERGY PROJECTS,"SCHEDULE VII (I), SCHEDULE VII (IV)",,6.99,,,6.99,,,KARNATAKA (BALLARI),Medical and Health
1935,CANFINHOME,CAN FIN HOMES LTD.,Ongoing,TRAUMA AND EMERGENCY CARE BMCRI VICTORIA,HEALTHCARE,SCHEDULE VII (I),35.39,,35.39,,,,,KARNATAKA (BENGALURU),Medical and Health
1957,CANFINHOME,CAN FIN HOMES LTD.,One-time,"KARNATAKA INSTITUTE OF MEDICAL SCIENCES (KIMS), HUBLI.",HEALTHCARE,SCHEDULE VII (I),,30.09,,,30.09,,,KARNATAKA (HUBLI),Medical and Health
1966,CANBK,CANARA BANK,One-time,FINANCIAL SUPPORT FOR UNDERTAKING VARIOUS DEVELOPMENTAL ACTIVITIES IN THE DISTRICT,RURAL DEVELOPMENT,SCHEDULE VII (X),2.5,2.5,,,,DISTRICT RURAL DEVELOPMENT AGENCY,2.5,,Medical and Health
1968,CANBK,CANARA BANK,One-time,PROVIDING FINANCIAL ASSISTANCE FOR PURCHASE OF AN AMBULANCE VAN,HEALTH,SCHEDULE VII (I),4.5,4.5,,,,"PRIMARY HEALTH CENTRE, KARKALA",4.5,,Medical and Health
1971,CANBK,CANARA BANK,One-time,DISTRIBUTION OF FOOD TO COVID WARRIORS AND MEDICAL KITS TO PHC CENTRES,HEALTH,"SCHEDULE VII (I), SCHEDULE VII (XII)",17.84,17.84,,,,COVID WARRIOR,17.84,,Medical and Health
1972,CANBK,CANARA BANK,One-time,FINANCIAL ASSISTANCE FOR PROVIDING A MEDICAL AMBULANCE,HEALTH,SCHEDULE VII (I),13.46,13.46,,,,"INDIAN INSTITUTE OF MANAGEMENT, JAMMU",13.46,,Medical and Health
1973,CANBK,CANARA BANK,One-time,FINANCIAL ASSISTANCE TO TELANGANA STATE FOREST DEVELOPMENT CORPORATION,"SPORTS, PWD, ENVIROMENTAL PROTECTION & OTHER SECTORS","SCHEDULE VII (IV), SCHEDULE VII (VII)",15.04,15.04,,,,TELANGANA STATE FOREST DEVELOPMENT CORP.,15.04,,Medical and Health
1976,CANBK,CANARA BANK,One-time,FINANCIAL ASSISTANCE TOWARDS PURCHASE OF ELECTRIC TRUCK FOR TRANSPORTATION OF ANNADHANAM MATERIALS AND DISTRIBUTION OF FOOD,POVERTY & NUTRITION,SCHEDULE VII (I),9.33,9.33,,,,"SRI LAXMI NARASIMHA SWAMY DEVASTHANAM, YADADRI",9.33,,Medical and Health
1977,CANBK,CANARA BANK,One-time,FINANCIAL SUPPORT FOR PROVIDING OXYGEN CONCENTRATORS,HEALTH,SCHEDULE VII (I),26.25,26.25,,,,GOVT.OF KARNATAKA,26.25,,Medical and Health
1982,CANBK,CANARA BANK,One-time,FINANCIAL SUPPORT FOR PURCHASE OF ASSISTIVE DEVICES,HEALTH,SCHEDULE VII (I),11.0,11.0,,,,SAMDRUSTI KSHMATA VIKAS EVAM ANUSANDHAN MANDAL,11.0,,Medical and Health
1983,CANBK,CANARA BANK,One-time,VARIOUS FINANCIAL LITERACY PROGRAMMES THROUGH FINANCIAL LITERACY CENTERS OF CANARA BANK,FINANCIAL LITERACY PROGRAMMES,SCHEDULE VII (II),584.83,584.83,,CANARA FINANCIAL ADVISORY TRUST,584.83,,,,Medical and Health
1984,CANBK,CANARA BANK,One-time,FINANCIAL ASSISTANCE FOR DISTRIBUTION OF FOOD GRAINS FOR POOR PEOPLE,POVERTY & NUTRITION,SCHEDULE VII (I),6.27,6.27,,,,"GRAM PANCHAYAT, POSHIR",6.27,,Medical and Health
1985,CANBK,CANARA BANK,One-time,FINANCIAL ASSISTANCE FOR PROVIDING OXYGEN CONCENTRATOR,HEALTH,SCHEDULE VII (I),24.0,24.0,,,,TRIVANDRUM MEDICAL COLLEGE HOSPITAL,24.0,,Medical and Health
1986,CANBK,CANARA BANK,One-time,FINANCIAL ASSISTANCE FOR PURCHASE OF AMBULANCE,HEALTH,SCHEDULE VII (I),30.0,30.0,,,,"KAMINENI HEALTH CARE PVT.LTD., VIJAYAWADA",30.0,,Medical and Health
1990,CANBK,CANARA BANK,One-time,FINANCIAL SUPPORT FOR PURCHASE OF AN ADVANCED AMBULANCE,HEALTH,SCHEDULE VII (I),18.31,18.31,,,,"GOVT.HOSPITAL, WANAPARTHY",18.31,,Medical and Health
1991,CANBK,CANARA BANK,One-time,PROVIDING OF FINANCIAL ASSISTANCE FOR PURCHASE OF AN AMBULANCE VAN,HEALTH,SCHEDULE VII (I),23.04,23.04,,,,"DR.PINNAMANENI SIDDARTH INSTITUTE OF MEDICAL SCIENCE & RESEARCH FOUNDATION, VIJAYAWADA",23.04,,Medical and Health
1993,CANBK,CANARA BANK,One-time,"FINANCIAL ASSISTANCE FOR PURCHASE OF 2 AC, 5 MULTIPARA MONITOR, 3 COMPUTERS JET PRINTERS AND 1 SCANNER TO CANTONMENT GENERAL HOSPITAL DEHRADUN",HEALTH,SCHEDULE VII (I),3.97,3.97,,,,"CANTONMENT GENERAL HOSPITAL, DEHRADUN",3.97,,Medical and Health
1995,CANBK,CANARA BANK,One-time,FINANCIAL ASSISTANCE FOR PURCHASE OF HEARSE VAN,HEALTH,SCHEDULE VII (I),5.29,5.29,,,,AHMEDABAD MUNICIPAL CORP.,5.29,,Medical and Health
1997,CANBK,CANARA BANK,One-time,FINANCIAL ASSISTANCE FOR PURCHASE OF ASSISTIVE DEVICES FOR PERSONS WITH DISABILITY,"SPORTS, PWD, ENVIROMENTAL PROTECTION & OTHER SECTORS","SCHEDULE VII (I), SCHEDULE VII (IV), SCHEDULE VII (VII)",2.0,2.0,,,,"MOBILITY INDIA, BENGALURU",2.0,,Medical and Health
1998,CANBK,CANARA BANK,One-time,FINANCIAL SUPPORT FOR MARUTI ECO 7 SEATER VAN,HEALTH,SCHEDULE VII (I),5.68,5.68,,,,NETRA JYOTHI CHARITABLE TRUST UDUPI,5.68,,Medical and Health
2000,CANBK,CANARA BANK,One-time,PROVIDING FINANCIAL ASSISTANCE FOR PURCHASE OF TRANSPORT VENTILATOR,HEALTH,SCHEDULE VII (I),4.46,4.46,,,,"DR.PINNANAMENI INSTITUTE OF MEDICAL SCIENCES, VIJAYAWADA",4.46,,Medical and Health
2003,CANBK,CANARA BANK,One-time,FINANCIAL SUPPORT FOR PLANTING OF 86500 SAPLINGS,"SPORTS, PWD, ENVIROMENTAL PROTECTION & OTHER SECTORS",SCHEDULE VII (IV),6.0,6.0,,,,"DISTRICT COLLECTOR,THENI",6.0,,Medical and Health
2005,CANBK,CANARA BANK,One-time,FINANCIAL ASSISTANCE TO SET UP COVID DOMICILIARY CENTRE,HEALTH,SCHEDULE VII (I),5.83,5.83,,,,TRIPUNITHURA MUNICIPALITY,5.83,,Medical and Health
2008,CANBK,CANARA BANK,One-time,"FINANCIAL ASSISTANCE TO DEPARTMENT OF EDUCATION, GOVERNMENT OF HIMACHAL PRADESH FOR DONATION OF 50 MOBILE PHONES FOR POOR STUDENTS",EDUCATION,SCHEDULE VII (II),2.51,2.51,,,,GOVT.OF HIMACHAL PRADESH,2.51,,Medical and Health
2010,CANBK,CANARA BANK,One-time,FINANCIAL SUPPORT FOR MAKING OF INSULATING BRICK MAKING MACHINE BY THE STUDENTS AS PART OF CURRICULUM,EDUCATION,SCHEDULE VII (II),2.5,2.5,,,,"HIMALAYAN INSTITUTE OF ALTERNATIVES, LADAKH",2.5,,Medical and Health
2015,CANBK,CANARA BANK,One-time,PROVIDING FINANCIAL ASSISTANCE FOR PURCHASE OF OXYGEN CONCENTRATORS,HEALTH,SCHEDULE VII (I),2.61,2.61,,,,"MILITARY HOSPITAL, TRIVANDRUM",2.61,,Medical and Health
2019,CANBK,CANARA BANK,One-time,PROVIDING FINANCIAL SUPPORT FOR AMBULANCE,HEALTH,SCHEDULE VII (I),13.95,13.95,,,,"NEYYATTINKARA MUNICIPALITY, TRIVANDRUM",13.95,,Medical and Health
2024,CANBK,CANARA BANK,One-time,PROVIDING OF FINANCIAL ASSISTANCE FOR PURCHASE AN AMBULANCE VAN,HEALTH,SCHEDULE VII (I),13.41,13.41,,,,"DIRECTORATE OF HEALTH SERVICES, PORT BLAIR",13.41,,Medical and Health
2028,CANBK,CANARA BANK,One-time,"FINANCIAL SUPPORT FOR DISTRIBUTION OF FACE MASKS TO POLICE PERSONNEL. ABOUT 40,000 NOS. FACE MASKS",HEALTH,SCHEDULE VII (I),18.47,18.47,,,,"KARNATAKA STATE RESERVE POLICE, BENGALURU",18.47,,Medical and Health
2031,CANBK,CANARA BANK,One-time,PROVIDING OF FINANCIAL ASSISTANCE FOR PURCHASE FOR AN AMBULANCE VAN,HEALTH,SCHEDULE VII (I),16.55,16.55,,,,DWARAKANATH TIRTH CHARITABLE TRUST,16.55,,Medical and Health
2033,CANBK,CANARA BANK,One-time,"PROVIDING COVID KITS, FOOD TO COVID WARRIORS, AMBULANCE, OXYGEN CONCENTRATORS, OXYGEN GENERATORS",HEALTH,SCHEDULE VII (I),144.62,144.62,,,72.31,,72.31,,Medical and Health
2034,CANBK,CANARA BANK,One-time,PROVIDING OF FINANCIAL ASSISTANCE FOR PURCHASE OF OXYGEN CONCENTRATORS,HEALTH,SCHEDULE VII (I),8.02,8.02,,,,"DISTRICT HOSPITAL, CHENNAI",8.02,,Medical and Health
2036,CANBK,CANARA BANK,One-time,FINANCIAL SUPPORT FOR RENOVATION FOR EMERGENCY ICU AND PURCHASE OF MEDICAL EQUIPMENT,HEALTH,SCHEDULE VII (I),394.93,394.93,,,,GOVT.HOSPITAL JAYANAGAR BENGALURU,394.93,,Medical and Health
2037,CANBK,CANARA BANK,One-time,PROVIDING OF FINANCIAL ASSISTANCE FOR PURCHASE FOR AN AMBULANCE,HEALTH,SCHEDULE VII (I),26.84,26.84,,,,"AIIMS, MANGALAGIRI",26.84,,Medical and Health
2042,CANBK,CANARA BANK,One-time,FINANCIAL SUPPORT FOR PROVIDING MASKS TO STREET VENDORS,HEALTH,SCHEDULE VII (I),5.32,5.32,,,,MASKS TO STREET VENDORS,5.32,,Medical and Health
2044,CANBK,CANARA BANK,One-time,PROVIDING FINANCIAL ASSISTANCE FOR COVID SUPPORT,HEALTH,SCHEDULE VII (I),200.0,200.0,,,,SLBC KERALA & KARNATAKA BENGALURU,200.0,,Medical and Health
2045,CANBK,CANARA BANK,One-time,FINANCIAL ASSISTANCE FOR PROVIDING OF VENTILATOR,HEALTH,SCHEDULE VII (I),9.8,9.8,,,,DISTRICT GOVT.HOSPITAL,9.8,,Medical and Health
2047,CANBK,CANARA BANK,One-time,FINANCIAL ASSISTANCE FOR PROVIDING OXYGEN CONCENTRATORS,HEALTH,SCHEDULE VII (I),21.83,21.83,,,,"MANGALORE CITY CORP., MANGALORE",21.83,,Medical and Health
2048,CANBK,CANARA BANK,One-time,"FINANCIAL SUPPORT FOR PROVIDING ASSISTIVE DEVICES FOR PWD, SPORTS ETC.","SPORTS, PWD, ENVIROMENTAL PROTECTION & OTHER SECTORS","SCHEDULE VII (I), SCHEDULE VII (VII)",25.51,25.51,,,25.51,,,,Medical and Health
2050,CANBK,CANARA BANK,One-time,FINANCIAL SUPPORT FOR DONATION OF 8 OXYGEN CONCENTRATORS,HEALTH,SCHEDULE VII (I),4.51,4.51,,,,"DISTRICT COLLECTOR, KADAPA",4.51,,Medical and Health
2052,CANBK,CANARA BANK,One-time,SPONSORSHIP TOWARDS PURCHASE OF MEDICAL AMBULANCE WITH TRANSPORT VENTILATOR,HEALTH,SCHEDULE VII (I),25.38,25.38,,,,ADICHUNCHANAGIRI SHIKSHANA TRUST,25.38,,Medical and Health
2063,CAPLIPOINT,CAPLIN POINT LABORATORIES LTD.,Ongoing,SETTING UP CARE HOMES AND HOSTEL FOR ORPHANS AND WOMEN,ITEM NO. (III),SCHEDULE VII (III),53.0,,63.0,CAPLIN POINT MEENAKSHI CSR TRUST,,,,"PUDUCHERRY,TAMIL NADU (CHENNAI,TIRUVALLUR)",Medical and Health
2066,CAPLIPOINT,CAPLIN POINT LABORATORIES LTD.,Ongoing,PROVIDING SANITATION FACILITIES,ITEM NO. (I),SCHEDULE VII (I),75.0,,63.0,CAPLIN POINT MEENAKSHI CSR TRUST,,,,"PUDUCHERRY,TAMIL NADU (CHENNAI,TIRUVALLUR)",Medical and Health
2069,CAPLIPOINT,CAPLIN POINT LABORATORIES LTD.,One-time,COVID RELATED ASSISTANCE & RELIEF,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,100.0,,,100.0,,,TAMIL NADU (CHENNAI),Medical and Health
2070,CAPLIPOINT,CAPLIN POINT LABORATORIES LTD.,Ongoing,SETTING UP HEALTHCARE FACILITIES,ITEM NO. (I),SCHEDULE VII (I),179.0,,63.0,CAPLIN POINT MEENAKSHI CSR TRUST,,,,"PUDUCHERRY,TAMIL NADU (CHENNAI,TIRUVALLUR)",Medical and Health
2077,CGCL,CAPRI GLOBAL CAPITAL LTD.,One-time,COVID-19 RELIEF EFFORTS SUPPORTED: COVID-19 DAY CARE CENTRE BENEFITED TO 500,CLAUSE (I) AND (XII) OF SCHEDULE VII,"SCHEDULE VII (I), SCHEDULE VII (XII)",,2.0,,,,INTERNATIONAL SOCIETY FOR KRISHNA CONSCIOUSNESS,2.0,DELHI,Medical and Health
2079,CGCL,CAPRI GLOBAL CAPITAL LTD.,Ongoing,"CAPRI HEALTH INITIATIVE  PROJECT ON PROMOTION OF SAFE MENSTRUATION BEHAVIOUR AMONG WOMEN, PRIMARY HEALTH CARE AND HEALTH CAMPS SUPPORTED BENEFICIARIES: 147305 NOS.",CLAUSE (I) OF SCHEDULE VII HEALTH CARE,SCHEDULE VII (I),160.5,160.5,,,,"WIN OVER CANCER,DOCTORS FOR YOU,SHUBHRA PRIYAMVADA FOUNDATION,SUKHIBHAVA FOUNDATION",160.5,ALL STATES,Medical and Health
2081,CGCL,CAPRI GLOBAL CAPITAL LTD.,One-time,COVID-19 RELIEF EFFORTS SUPPORTED: MEDICAL EQUIPMENTS TO GOVT HOSPITAL: BENEFITED TO 1500,CLAUSE (I) AND (XII) OF SCHEDULE VII,"SCHEDULE VII (I), SCHEDULE VII (XII)",,11.59,,,11.59,,,MAHARASHTRA (MUMBAI),Medical and Health
2086,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.,One-time,"COVID 19 RELATED SPENDS SUCH AS COVID KIT, AMBULANCE SUPPORT, OXYGEN CONCENTRATORS AND OTHER INFRASTRUCTURE FACILITY FOR LOCAL ADMINISTRATION FOR COMBATING COVID.",HEALTHCARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,10.4,,,10.4,,,"GUJARAT,KERALA,TAMIL NADU,UTTARAKHAND,WEST BENGAL",Medical and Health
2089,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.,One-time,MOBILE HEALTH VAN IN UTTARAKHAND,HEALTHCARE,SCHEDULE VII (I),,8.8,,,,AMM FOUNDATION,8.8,UTTARAKHAND (HARIDWAR),Medical and Health
